"Value","space","time","itemNo","RT","sid"
"j","ver","century",32,4444,22
"f","ver","day",15,4434,22
"f","ver","minute",8,4646,23
"j","ver","week",20,3618,23
"f","ver","hour",12,4124,23
"f","hor","day",13,2950,23
"j","ver","day",15,2978,23
"j","ver","year",27,2913,23
"j","hor","minute",6,3864,23
"f","ver","week",19,2656,23
"f","ver","year",28,5194,23
"f","ver","minute",7,3018,23
"j","ver","hour",11,4723,23
"f","hor","second",2,3173,23
"f","hor","second",1,53,23
"j","hor","day",14,112,23
"f","hor","year",25,105,23
"j","hor","week",17,18,23
"f","ver","second",3,79,23
"j","hor","minute",5,122,23
"f","hor","century",30,153,23
"f","hor","year",26,79,23
"j","hor","week",18,134,23
"f","hor","hour",9,191,23
"f","ver","month",23,226,23
"j","ver","month",24,184,23
"f","ver","second",4,201,23
"f","ver","day",16,131,23
"j","hor","month",22,55,23
"j","ver","century",31,122,23
"f","hor","hour",10,57,23
"f","hor","month",21,16,23
"f","hor","century",29,193,23
"f","ver","century",32,27,23
"f","ver","second",4,8380,24
"j","hor","day",14,4576,24
"f","ver","month",24,2773,24
"f","ver","week",19,1943,24
"f","hor","second",2,2505,24
"j","ver","day",16,2709,24
"f","ver","hour",12,307,24
"f","ver","century",31,172,24
"f","ver","hour",11,193,24
"f","ver","century",32,188,24
"f","ver","year",27,89,24
"f","hor","century",30,172,24
"f","hor","month",21,180,24
"f","hor","week",18,356,24
"f","hor","year",26,121,24
"j","ver","minute",8,121,24
"f","ver","week",20,108,24
"f","hor","second",1,4181,24
"f","ver","minute",7,185,24
"f","hor","week",17,1661,24
"j","hor","year",25,127,24
"f","ver","month",23,136,24
"f","hor","hour",9,215,24
"f","hor","century",29,184,24
"f","hor","minute",6,1156,24
"f","hor","day",13,3700,24
"j","hor","hour",10,196,24
"f","hor","minute",5,111,24
"j","ver","year",28,122,24
"f","ver","second",3,157,24
"f","ver","day",15,1025,24
"f","hor","month",22,729,24
